,0,1,2,3,4
media_consumo,0.1572892911155388,0.25718246633218905,0.318313392707108,0.3388581750966224,0.4042286170391519
std_consumo,0.17076519553079814,0.2989211567824415,0.2938213836091298,0.3275700857202727,0.4776353601475502
min_consumo,0.0,0.0,0.0,0.0,0.0280999999999478
max_consumo,1.8291428571428572,3.111285714285714,2.81,2.697,4.491
percentil_25_consumo,0.071,0.08728571428571429,0.139,0.112,0.18
percentil_50_consumo,0.10471428571428572,0.14942857142857144,0.231,0.206,0.281
percentil_75_consumo,0.16257142857142856,0.29628571428571426,0.364,0.4465,0.426
promedio_por_dia,0.15732873756094298,0.25721084410271816,0.3183841164095372,0.3388545903459561,0.4042175045289843
consumo_medio_diario,3.774308755760369,6.171342165898618,7.638237903225806,8.131229838709675,9.69985685483868
Mañana,0.14407776497695846,0.24060325460829488,0.2633669354838709,0.352117943548387,0.3127096774193543
Mediodia,0.18759619815668202,0.30956432411674345,0.3583669354838709,0.4582681451612903,0.490546774193545
Tarde,0.1841909562211981,0.32385239055299536,0.3269385080645161,0.3378810483870967,0.6763152217741926
Noche,0.18833549133379351,0.34766855550010256,0.3580560965456446,0.413539024748596,0.3961198788690086
Madrugada,0.09715101766513053,0.11106086789554526,0.2826888440860215,0.1613736559139785,0.2028668682795695
sum_consumo,936.0285714285714,1530.4928571428572,1894.283,2016.545,2405.564499999993
Lunes,0.15443616399953272,0.2632060506950123,0.3277514309076042,0.3379010629599345,0.3692643499591164
Martes,0.15421394230769225,0.2633635531135531,0.3336979166666666,0.3462379807692308,0.3920286057692296
Miércoles,0.16074702380952374,0.2583942212301587,0.3093741319444444,0.3332482638888889,0.4036114583333322
Jueves,0.16481882440476187,0.25280319940476187,0.3041128472222222,0.3555052083333333,0.3986448784722214
Viernes,0.15275704567541298,0.24746149173955295,0.3148392857142857,0.3212100340136054,0.459611564625848
Entre semana,0.1572892911155388,0.25718246633218905,0.318313392707108,0.3388581750966224,0.4042286170391519
s_Mañana,142.92514285714284,238.67842857142858,261.26,349.30100000000004,310.2079999999995
s_Mediodia,279.1431428571429,460.6317142857143,533.25,681.903,729.933599999995
s_Tarde,182.71742857142857,321.2615714285715,324.323,335.178,670.9046999999991
s_Noche,186.68214285714288,344.6625714285714,354.809,410.039,392.6522999999998
s_Madrugada,144.56071428571428,165.25857142857143,420.641,240.124,301.8658999999995
s_Lunes,188.87542857142856,321.90099999999995,400.84,413.253,451.6102999999993
s_Martes,192.459,328.67771428571433,416.455,432.105,489.2516999999986
s_Miércoles,185.18057142857145,297.6701428571428,356.399,383.902,464.96039999999874
s_Jueves,189.8712857142857,291.2292857142857,350.338,409.542,459.23889999999903
s_Viernes,179.64228571428572,291.0147142857143,370.251,377.743,540.5031999999973
s_Entre semana,936.0285714285714,1530.4928571428572,1894.283,2016.545,2405.564499999993
s_invierno,212.63442857142857,419.919,442.998,582.161,501.9869999999968
s_otoño,216.126,348.7512857142857,402.867,489.742,500.1735999999981
s_primavera,201.605,350.6902857142857,408.282,548.245,562.3624999999987
s_verano,305.6631428571428,411.13228571428573,640.136,396.397,841.0413999999993
std_Mañana,0.043837069058597,0.07607017852226892,0.0644459214046816,0.0682866869513767,0.1839269921295244
std_Mediodia,0.05173209044564564,0.0718693444093571,0.0264604032041828,0.0909218921901645,0.1469420801226199
std_Tarde,0.0319785366145264,0.06960466828438837,0.0541092054269831,0.0571277058781462,0.0450324479395408
std_Noche,0.04847950178295287,0.09496042767740491,0.0265039682241003,0.1253583816864074,0.1220738143076702
std_Madrugada,0.022092853923609327,0.0309588200113565,0.0751833744382135,0.0459292179942718,0.0653166844204311
std_Lunes,0.1706278076778893,0.31187192667153874,0.2980119677555392,0.3217833147633361,0.4197854912287957
std_Martes,0.16640310549625187,0.29592869521875115,0.3106028531894859,0.3353367149082343,0.4463680339037256
std_Miércoles,0.16841104482214594,0.3086849901641902,0.2841906210245289,0.3324435333467253,0.4438558869922533
std_Jueves,0.17668372063953655,0.2778816694949838,0.2812300265402946,0.3320883660372612,0.4856710550193044
std_Viernes,0.16783529007992806,0.29289628944957524,0.2918808684771555,0.3152266069361999,0.5761454301356083
std_Entre semana,0.1707651955307981,0.29892115678244163,0.29382138360913,0.3275700857202723,0.47763536014755
std_invierno,0.15431157048527908,0.32963795514213096,0.2983577320833919,0.3870217740514947,0.4126140907356044
