,0,1,2,3
media_consumo,0.13894250788807586,0.187295961673696,0.254505711152739,0.3067911916084377
std_consumo,0.14433829738741097,0.21751242136023716,0.3580410253645686,0.3184212632662448
min_consumo,0.0,0.0,0.0,0.008
max_consumo,1.96675,2.612,3.9370000000000003,3.6065
percentil_25_consumo,0.07025,0.0688,0.055249999999999994,0.1275
percentil_50_consumo,0.10175000000000001,0.11019999999999999,0.10500000000000001,0.20033333333333334
percentil_75_consumo,0.14475,0.20350000000000001,0.28400000000000003,0.35474999999999995
promedio_por_dia,0.138958381705367,0.18730353565834984,0.25451701249841086,0.3067863862660226
consumo_medio_diario,3.3344325601606686,4.494893138234634,6.107858004385966,7.361942715930685
Mañana,0.11654708157714613,0.1754860531892553,0.2862771381578947,0.24699353214567668
Mediodia,0.18340305640362886,0.2278836460997061,0.2916609100877193,0.40330878388223196
Tarde,0.15266347485275042,0.23293118877815874,0.3099580592105263,0.36553120399790157
Noche,0.16135770296028001,0.2220218651003834,0.34456746460174853,0.37504128177390933
Madrugada,0.08532668073274595,0.10101114443307282,0.09917629606447875,0.16552964584820706
sum_consumo,2664.9700000000003,4012.9945999999995,5570.3665,6396.672766666658
Lunes,0.14165466140758826,0.18774890735378408,0.25692268533248486,0.30616854612268374
Martes,0.13838778567447044,0.1910196797414706,0.252581891025641,0.31092706089743566
Miércoles,0.14095935061315495,0.18940800229521537,0.260861858974359,0.3109108934930802
Jueves,0.13950558342623554,0.18883148915443992,0.23959391025641025,0.3074064119209466
Viernes,0.13810401785714285,0.1768191833470112,0.2197802884615384,0.31062761649563314
Sábado,0.14023310439560435,0.18275984649078905,0.2703785256410256,0.2957779131515133
Domingo,0.13379818361504905,0.1944984855233963,0.2811976781170483,0.30583500102462025
Entre semana,0.13972469706049112,0.1867548503420956,0.2459642834282788,0.3091887477815556
Fin de semana,0.13701180584063122,0.18864333767770028,0.2758088282247765,0.3008232910578436
s_Mañana,370.529,627.838,1044.339,861.3133399999988
s_Mediodia,868.9012499999999,1216.867,1595.9685,2099.3650199999934
s_Tarde,492.144,831.2718000000001,1130.727,1254.8727399999989
s_Noche,524.85925,794.2288000000001,1256.7665,1314.1716666666666
s_Madrugada,408.5365,542.789,542.5655,866.9499999999999
s_Lunes,389.26925,575.5584000000001,807.508,919.1189599999993
s_Martes,377.90225,581.7798,788.0554999999999,927.6095666666661
s_Miércoles,381.4785,579.3732,813.8889999999999,926.191859999998
s_Jueves,379.75825,577.9928,747.533,914.700619999999
s_Viernes,376.22024999999996,540.7126000000001,685.7145,920.2828599999972
s_Sábado,385.791,559.4354000000001,843.5809999999999,877.2314266666663
s_Domingo,374.5505,598.1424,884.0855,911.5374733333316
s_Entre semana,1904.6285,2855.4168,3842.7,4607.903866666659
s_Fin de semana,760.3415,1157.5778,1727.6665,1788.768899999998
s_invierno,621.9159999999999,1104.0800000000002,2096.8355,1684.0454599999969
s_otoño,463.69275,788.8761999999999,998.857,1230.4261266666645
s_primavera,729.21575,1232.732,1577.2655,1746.7356133333315
s_verano,850.1455,887.3064,897.4085,1735.4655666666647
std_Mañana,0.035628460786997246,0.04038701658457554,0.0984570132263965,0.06759031627151547
std_Mediodia,0.04591125867153568,0.041617893883551096,0.04814644241828245,0.06428424030538948
std_Tarde,0.020343784053369274,0.03718398541315992,0.055971298355559605,0.040816278615487984
std_Noche,0.03743396512746758,0.055772704388488956,0.09889854961416575,0.08521954353895644
std_Madrugada,0.0127885903795248,0.02789021532029488,0.05057739010211795,0.03295916806813055
std_Lunes,0.14745375763195184,0.21061549112690464,0.35655663048415914,0.3104019177717126
std_Martes,0.13906111771004914,0.2168200238278078,0.3471798816883628,0.3085568931256755
std_Miércoles,0.14501354344257983,0.20986343161407034,0.3663643925761486,0.32132602031580576
std_Jueves,0.13926804581317023,0.2143221049563549,0.32859269629368215,0.3048321950160199
std_Viernes,0.14054718008855935,0.19881549247232924,0.3176417706574956,0.32361042237571647
std_Sábado,0.15157900588424722,0.22192510516557892,0.38520488931183317,0.32934609449883534
std_Domingo,0.14459072172226908,0.23911072568110728,0.3873928112317897,0.3122496714081234
std_Entre semana,0.14240805426049585,0.21085853561472376,0.3441871894547171,0.31518720566259306
std_Fin de semana,0.14837963033382215,0.23123042414505507,0.38632837313805746,0.322385431870526
std_invierno,0.12541340114287008,0.255620527532341,0.47198473465060803,0.2940821473305469
std_otoño,0.10126897764283885,0.20012469607619782,0.2902087431144992,0.2522287273372357
std_primavera,0.10670892967051013,0.21717203507130328,0.3217313853470529,0.2525894249215013
std_verano,0.1972269728961212,0.18214420824299382,0.23925969047988682,0.4130276478745638
Enero,242.44725,407.3596,784.373,628.2361999999989
Febrero,210.42700000000002,391.0496,755.009,582.9875866666661
Marzo,259.82950000000005,441.6791999999999,674.299,620.569013333333
Abril,227.05425,381.61379999999997,469.403,559.8977466666657
Mayo,242.332,409.43899999999996,433.5635,566.2688533333325
Junio,342.725,405.3308,458.42050000000006,614.1906133333322
Julio,245.372,241.58960000000002,225.83749999999998,558.3814466666662
Agosto,262.0485,240.38600000000002,213.15050000000002,562.8935066666662
Septiembre,164.43575,242.734,267.648,396.3799333333324
Octubre,153.83325,273.8084,325.391,412.3343199999995
Noviembre,145.42375,272.3338,405.818,421.7118733333325
Diciembre,169.04175,305.6708,557.4535000000001,472.82167333333217
total_mean_consumption,15999.789874330816,24091.706397353566,33442.08458545313,38401.29238816625
