hour,mean,median,min,max,std,p25,p50,p75
0,0.21953808137566855,0.159,0.0,4.397,0.20787163363078032,0.103,0.159,0.261
1,0.17688952071486597,0.122,0.0,3.72,0.17653997100751412,0.085,0.122,0.193
2,0.1432675331708638,0.1,0.0,1.868,0.1510736380289383,0.071,0.1,0.148
3,0.1234436595802486,0.091,0.0,1.802,0.11415535310152956,0.065,0.091,0.135
4,0.11246202274573518,0.088,0.0,1.491,0.09548170392608916,0.062,0.088,0.126
5,0.0991702545356079,0.086,0.0,1.197,0.06638538505868752,0.062,0.086,0.118
6,0.09804183590576768,0.085,0.0,1.12,0.06301841453418326,0.061,0.085,0.117
7,0.1264551854860547,0.093,0.0,2.213,0.12113696628929248,0.066,0.093,0.139
8,0.21597914974275656,0.127,0.0,3.569,0.2611149302685719,0.076,0.127,0.237
9,0.20738024641213104,0.137,0.0,4.94,0.2338855920928139,0.081,0.137,0.23925
10,0.21531654481451395,0.129,0.0,5.21,0.2981330437044115,0.08,0.129,0.228
11,0.22996919848361766,0.135,0.0,5.198,0.33461075524239453,0.082,0.135,0.24
12,0.24274634443541837,0.128,0.0,5.274,0.3779685761682031,0.08,0.128,0.24
13,0.2746512320606553,0.13,0.0,5.294,0.4213320311404492,0.08,0.13,0.27525
14,0.3365903059842946,0.153,0.0,5.312,0.4681883874668527,0.084,0.153,0.41925
15,0.36449911995667483,0.225,0.0,5.359,0.43869308794861245,0.111,0.225,0.471
16,0.29595572405388937,0.188,0.0,5.326,0.37945993666939126,0.103,0.188,0.334
17,0.2607554667930404,0.176,0.0,5.276,0.3418171303869991,0.1,0.176,0.283
18,0.2577963577279805,0.167,0.0,5.272,0.32731113316016663,0.097,0.167,0.29
19,0.26330038589127347,0.163,0.0,5.208,0.329890845100257,0.096,0.163,0.293
20,0.28717818698801706,0.174,0.0,5.106,0.3446078894856073,0.101,0.174,0.327
21,0.32791699952609843,0.207,0.0,5.099,0.35813612283711393,0.113,0.207,0.398
22,0.3408281091327602,0.23,0.0,4.703,0.3401954265880641,0.123,0.23,0.428
23,0.2919130729131406,0.198,0.0,4.39,0.28652750808608535,0.117,0.198,0.363
