hogar,day_type,mean,median,min,max,std,sum,p25,p50,p75,skew,kurt,n_obs,cv
ABLD,festivo,0.19461809761311008,0.099,0.031,2.005,0.2245257491822377,546.293,0.0675,0.099,0.214,2.833689747701427,10.129366877238738,2807,1.1536735377435574
ABLD,laborable,0.22571046882876827,0.12,0.0,2.123,0.24647873010242935,1343.203,0.072,0.12,0.263,2.2807410120505924,5.907066378126645,5951,1.092012840084155
AJVG,festivo,0.24835696473102958,0.091,0.028,3.199,0.3755009001156293,697.138,0.053,0.091,0.2395,2.9734312418034334,10.3943733161347,2807,1.5119402853159223
AJVG,laborable,0.2409109393379264,0.084,0.0,3.691,0.3839501124802392,1433.661,0.053,0.084,0.225,3.2604173907616882,12.94479670652218,5951,1.5937429555312612
ATF,festivo,0.1256070537940862,0.097,0.042,2.233,0.14033641941096958,352.579,0.063,0.097,0.128,6.2621163014523615,54.0439666477803,2807,1.117265433524378
ATF,laborable,0.14547975130230215,0.114,0.0,2.105,0.1452819173685808,865.75,0.072,0.114,0.153,4.884413137018609,33.134016036242876,5951,0.9986401273582722
FJAG,festivo,0.4696019593872449,0.313,0.0210999999999472,4.246,0.4858756289929875,1318.1726999999964,0.181,0.313,0.586,3.121351612287107,12.389833640079148,2807,1.0346541773952074
FJAG,laborable,0.4042286170391519,0.281,0.0280999999999478,4.491,0.47763536014755004,2405.564499999993,0.18,0.281,0.426,4.398339638496246,22.92314826819908,5951,1.181597096331476
FMB,festivo,0.21311115069469183,0.094,0.022,2.683,0.29797094968651877,598.203,0.049,0.094,0.247,3.1700594823582358,12.666284336559563,2807,1.3981950203694369
FMB,laborable,0.2162739035456226,0.143,0.0,3.138,0.25670802481857763,1287.046,0.056,0.143,0.254,3.1274617984257445,13.52037875629805,5951,1.1869579297828947
GPC,festivo,0.17985286783042392,0.097,0.026,2.236,0.22683284704147263,504.847,0.065,0.097,0.1825,3.254088781860974,13.654901480895017,2807,1.261213400585551
GPC,laborable,0.1653577549991598,0.101,0.0,2.132,0.18940603814020168,984.044,0.067,0.101,0.172,3.3564899832685278,15.420254987193033,5951,1.1454318434666948
JACL,festivo,0.15254827217670108,0.102,0.035,1.584,0.19980427094765463,428.203,0.066,0.102,0.142,3.6906306848159858,14.036159740719135,2807,1.309777345207919
JACL,laborable,0.15317677701226684,0.104,0.0,1.385,0.19116826414241458,911.555,0.066,0.104,0.145,3.544856871758129,13.0300557933327,5951,1.2480238053781827
JALG,festivo,0.29522800142500893,0.185,0.032,2.34,0.27204307528550314,828.705,0.124,0.185,0.3705,2.073688293171076,5.034428793803487,2807,0.9214677265449192
JALG,laborable,0.28220836834145524,0.19,0.0,1.888,0.24900133495752882,1679.422,0.126,0.19,0.348,2.0949466041636864,4.884939115263701,5951,0.8823315071091447
JLG,festivo,0.15632703954399715,0.09,0.036,2.256,0.1942382894972213,438.81,0.054,0.09,0.156,3.357097771009255,14.830480946768404,2807,1.2425124282005884
JLG,laborable,0.1583259956309864,0.092,0.0,1.648,0.1918179772546443,942.198,0.055,0.092,0.161,3.1332199640184064,11.213906196754573,5951,1.2115381083831511
JMM,festivo,0.31786818667616673,0.198,0.062,5.359,0.4544081976940214,892.256,0.129,0.198,0.318,6.108687335390376,48.26697741077882,2807,1.4295491550935135
JMM,laborable,0.26134884893295246,0.194,0.0,5.298,0.2801052622637331,1555.287,0.123,0.194,0.29,7.208272369462138,88.84794694188285,5951,1.071767728870283
LFZA,festivo,0.14736123975774848,0.099,0.009,2.596,0.19168904094575878,413.643,0.073,0.099,0.139,5.041514015279809,34.523116158846896,2807,1.3008104523338844
LFZA,laborable,0.15945740211729123,0.103,0.0,1.899,0.19552060432222268,948.931,0.074,0.103,0.152,3.768022207644324,17.246901674770374,5951,1.2261619826115355
MANA,festivo,0.2854877092981831,0.173,0.048,2.514,0.3307218607137204,801.364,0.11,0.173,0.306,3.166081944177239,11.287093235696,2807,1.1584451797477964
MANA,laborable,0.2961910603259956,0.184,0.0,2.551,0.3330961997377526,1762.633,0.114,0.184,0.335,3.2671913588005785,12.31043082504676,5951,1.124599099551277
MBGV,festivo,0.21322408265051657,0.097,0.045,1.867,0.25010801234165936,598.52,0.076,0.097,0.2205,2.5842503872800626,7.653958628285462,2807,1.1729820066882273
MBGV,laborable,0.19320013443118803,0.117,0.0,1.881,0.19082301212454522,1149.734,0.079,0.117,0.223,2.606861978454171,8.699042424677371,5951,0.9876960628746899
