hogar,dayofweek,mean,median,min,max,std,sum,p25,p50,p75,skew,kurt,n_obs,cv
ABLD,0,0.23097088906372937,0.12,0.0,1.539,0.25130488733007267,293.564,0.07,0.12,0.275,2.144952479662246,4.844689681271453,1271,1.0880370610719377
ABLD,1,0.2263661858974359,0.124,0.047,1.546,0.23937425719247957,282.505,0.071,0.124,0.271,2.11932451579143,4.647425096582747,1248,1.0574647279737155
ABLD,2,0.22944951923076923,0.127,0.046,2.123,0.2506211222710436,286.353,0.072,0.127,0.26625,2.3469560474304227,6.763570299677051,1248,1.0922712896119908
ABLD,3,0.22802083333333334,0.126,0.034,1.855,0.25245146969981236,284.57,0.072,0.126,0.26125,2.4433819182821446,7.2703941255501086,1248,1.107142123854819
ABLD,4,0.2117676282051282,0.109,0.033,1.575,0.23533456641407768,264.286,0.071,0.109,0.24225,2.3833636653968697,6.321554416767624,1248,1.1112867835782787
ABLD,5,0.1817275641025641,0.0975,0.031,1.741,0.20525576075474994,226.796,0.067,0.0975,0.207,3.0114367647469664,11.709753912460354,1248,1.1294696089081286
ABLD,6,0.2016214915797915,0.096,0.033,2.005,0.23895574945133094,251.422,0.068,0.096,0.2145,2.7337462739934244,9.048614551450703,1247,1.185170031126193
AJVG,0,0.253985051140834,0.087,0.0,2.988,0.39064597291448994,322.815,0.053,0.087,0.236,2.901886609736476,9.745909085241612,1271,1.5380667923557354
AJVG,1,0.2675665064102564,0.0895,0.028,3.691,0.42292359743838237,333.923,0.053,0.0895,0.241,3.188497745100153,12.809574453283496,1248,1.5806298146671574
AJVG,2,0.2571025641025641,0.087,0.028,3.444,0.4023045370795205,320.864,0.053,0.087,0.242,3.2089761829304364,12.655436894495072,1248,1.5647628349557494
AJVG,3,0.21611778846153845,0.075,0.027,2.768,0.34254661608331965,269.715,0.051,0.075,0.212,3.2819390254280587,12.698748315203899,1248,1.5849996361788663
AJVG,4,0.20222916666666668,0.07,0.027,2.829,0.3429080719911311,252.382,0.049,0.07,0.1925,3.554913324658725,14.405254256572519,1248,1.6956410276681047
AJVG,5,0.245625,0.092,0.028,2.805,0.37203224211621444,306.54,0.054,0.092,0.23925,3.043517407023254,10.834524431236256,1248,1.5146350824069799
AJVG,6,0.2602726543704892,0.103,0.028,3.199,0.3844452751441604,324.56,0.0555,0.103,0.249,2.951179530151523,10.395737994111109,1247,1.4770866961571605
ATF,0,0.14753973249409913,0.112,0.0,1.77,0.15326077756481232,187.523,0.071,0.112,0.154,4.652684122939188,29.185117989877412,1271,1.0387763009597568
ATF,1,0.1395176282051282,0.111,0.05,2.105,0.14105244127130961,174.118,0.07,0.111,0.143,5.765717849566671,50.69068551708641,1248,1.0110008540564124
ATF,2,0.1538301282051282,0.116,0.049,2.233,0.17374726085701703,191.98,0.078,0.116,0.159,5.865367095422292,46.30796462690311,1248,1.1294748492007358
ATF,3,0.14294471153846156,0.1135,0.049,1.162,0.13473071894703192,178.395,0.071,0.1135,0.156,4.188004587709488,21.86477919237033,1248,0.9425372754051169
ATF,4,0.144,0.114,0.049,1.277,0.14547841601716885,179.712,0.071,0.114,0.148,4.421746850977082,23.68120740780024,1248,1.010266777897006
ATF,5,0.13414983974358977,0.1,0.048,1.428,0.14780448023819417,167.419,0.065,0.1,0.133,4.805312243304081,27.789739850116593,1248,1.101786483835564
ATF,6,0.11161347233360064,0.094,0.042,1.304,0.09675052599665722,139.182,0.061,0.094,0.125,6.433990476235405,58.16922796382736,1247,0.8668355528576365
FJAG,0,0.3690380015735636,0.274,0.077,4.491,0.4158878273721392,469.0472999999993,0.1785,0.274,0.409,5.202665560065799,33.87757215893932,1271,1.1269512234480183
FJAG,1,0.39202860576922965,0.2885,0.0280999999999478,4.395,0.4463680339037256,489.2516999999986,0.182,0.2885,0.425,4.876680879382449,29.294634562581102,1248,1.1386108751627253
FJAG,2,0.4032679487179477,0.293,0.079,4.167,0.43288929046706764,503.2783999999987,0.18575,0.293,0.439,4.378539436003615,23.79412460048809,1248,1.0734532507314078
