hogar,date_only,consumo_medio,consumo_std,consumo_min,consumo_max,consumo_total,z
ABLD,2025-02-23,0.48420833333333335,0.4938093259167133,0.069,2.005,11.621,3.4430829445012945
AJVG,2025-02-01,0.7999583333333334,0.7457497819770654,0.029,2.805,19.199,3.5888301656125545
AJVG,2025-02-08,0.8899583333333334,0.7470409731599132,0.03,2.609,21.359,4.169008318531565
AJVG,2025-02-09,0.8019166666666666,0.5699769573272747,0.031,1.79,19.246,3.6014544124584766
ATF,2024-07-05,0.34920833333333334,0.26841871559944913,0.074,1.02,8.381,3.161615300515802
ATF,2024-07-31,0.4618333333333333,0.4899997042294287,0.068,1.794,11.084,4.856173263967587
ATF,2024-12-24,0.42412500000000003,0.5410213619908505,0.057,2.105,10.179,4.288812939541445
ATF,2024-12-25,0.5282083333333333,0.6307372483445665,0.059,2.233,12.677,5.854852818454711
ATF,2025-06-22,0.4114166666666667,0.40664693763024706,0.085,1.304,9.874,4.097603106447551
ATF,2025-06-25,0.37116666666666664,0.39953774014115545,0.096,1.176,8.908,3.4920008154026276
ATF,2025-06-26,0.423375,0.38070801461396153,0.12,1.162,10.161,4.277528424801476
ATF,2025-06-28,0.4709583333333333,0.3931273141679773,0.117,1.342,11.302999999999999,4.993468193303858
ATF,2025-06-30,0.45869565217391306,0.47307989280906576,0.127,1.358,10.55,4.521399326681886
FJAG,2024-07-27,1.3174166666666667,1.2257177459568835,0.138,3.738,31.618,4.318012266394101
FJAG,2024-07-28,1.1071666666666666,1.1209195241899148,0.167,2.964,26.572,3.3006089247079413
FJAG,2024-08-01,1.2227083333333333,1.1210420028265886,0.138,3.07,29.345,3.8597170234982157
FJAG,2024-08-08,1.2008333333333334,1.0956402800136573,0.148,3.301,28.82,3.753863524809109
FJAG,2024-08-10,1.11025,1.0157531902377963,0.121,3.018,26.646,3.3155292273803116
FJAG,2024-08-12,1.1155833333333334,1.0736819185954658,0.175,2.875,26.774,3.341337318489275
FJAG,2025-06-21,1.1390416666666667,1.1709463834740748,0.139,3.701,27.337,3.4548525942263546
FJAG,2025-06-27,1.215,1.1916660970911785,0.138,3.398,29.16,3.822416266817292
FMB,2024-12-28,0.6182083333333334,0.6745346208388009,0.025,1.674,14.837,4.168085018492219
FMB,2024-12-29,0.9994999999999999,0.8238653330226499,0.025,2.683,23.988,8.11167531096425
FMB,2024-12-30,0.9043749999999999,0.6758144080518221,0.026,1.871,21.705,7.127824733135198
FMB,2025-01-10,0.5216666666666666,0.44619986423191543,0.025,1.135,12.52,3.169582263858005
FMB,2025-06-30,0.5507826086956521,0.4410955324810076,0.066,1.439,12.668,3.2333623275981274
GPC,2024-12-31,0.44925,0.5410140438585433,0.028,1.691,10.782,4.935030674974726
GPC,2025-01-26,0.34991666666666665,0.439800934877179,0.032,1.973,8.398,3.1797893760884186
GPC,2025-02-08,0.34400000000000003,0.42680746091844757,0.03,1.43,8.256,3.075240607446701
GPC,2025-03-02,0.369,0.5047505625898624,0.036,2.236,8.856,3.516995967904664
GPC,2025-04-26,0.37070833333333336,0.4497687791634107,0.029,1.721,8.897,3.547182584202625
JACL,2024-07-20,0.47870833333333335,0.43607762364122715,0.042,1.175,11.489,3.3503729458918494
JACL,2024-07-29,0.451125,0.3789071599608078,0.037,1.159,10.827,3.066691074810331
JACL,2024-07-30,0.5255416666666667,0.44908631678947447,0.038,1.186,12.613,3.8320321952810126
JACL,2024-07-31,0.45025,0.4827459724462168,0.038,1.208,10.806,3.057692103069074
JACL,2024-08-11,0.5035,0.4487454008484194,0.038,1.19,12.084,3.60534381189412
JACL,2024-08-12,0.4799166666666667,0.44205448382147045,0.037,1.385,11.518,3.362800097344061
JACL,2025-06-20,0.455875,0.3556196444542105,0.038,1.127,10.940999999999999,3.115542635691438
JACL,2025-06-23,0.47100000000000003,0.46797993268013577,0.038,1.34,11.304,3.2710962900760174
JACL,2025-06-24,0.4520416666666667,0.4601713744254196,0.037,1.193,10.849,3.076118569015457
JACL,2025-06-25,0.47174999999999995,0.44416998802358265,0.037,1.304,11.322,3.2788096944256653
JACL,2025-06-29,0.6042083333333333,0.48763831742715674,0.037,1.26,14.501,4.6410826070663695
JALG,2024-07-20,0.5005833333333333,0.4653839851382817,0.112,1.605,12.014,3.2235004512926086
JALG,2025-06-23,0.5573333333333333,0.5028540860767247,0.107,1.649,13.376,4.077263527117533
JLG,2024-07-19,0.4891666666666667,0.39888525828283294,0.069,1.28,11.74,3.4573710696083597
JLG,2024-07-30,0.484375,0.3599892284016528,0.082,1.251,11.625,3.4073991160177672
JLG,2024-07-31,0.5854583333333333,0.48459817322473836,0.077,1.648,14.051,4.461590067415831
JLG,2024-08-12,0.44533333333333336,0.4265612415042219,0.058,1.199,10.688,3.0002363289361575
JLG,2025-06-24,0.4936666666666667,0.34172550218059483,0.065,1.346,11.848,3.5043012521108294
JLG,2025-06-25,0.47174999999999995,0.30185704217898157,0.139,1.196,11.322,3.2757338817747277
JLG,2025-06-28,0.491875,0.31484852293016136,0.069,0.912,11.805,3.485616086855216
JLG,2025-06-29,0.5925833333333334,0.5069115278837613,0.086,1.637,14.222,4.535896189711408
JLG,2025-06-30,0.6649130434782609,0.45490557592092956,0.089,1.355,15.293,5.0012871661942295
JMM,2024-07-20,0.8080416666666667,1.3875808939729752,0.086,4.577,19.393,3.5010321876874957
JMM,2024-07-27,1.2079583333333332,1.717576439136076,0.101,4.703,28.991,6.149557471133349
JMM,2024-07-31,1.1347083333333334,1.711292938081478,0.138,5.298,27.233,5.664445213548664
JMM,2025-06-14,2.2375833333333333,1.8823932019285095,0.132,4.885,53.702,12.968447685681221
LFZA,2025-02-22,0.5650416666666667,0.8274713960203605,0.062,2.596,13.561,4.7194766971360345
LFZA,2025-06-11,0.5364583333333334,0.3365200399958977,0.071,0.966,12.875,4.390051871361245
LFZA,2025-06-14,0.42612500000000003,0.3372094320848047,0.01,0.889,10.227,3.1184528354259076
LFZA,2025-06-19,0.48970833333333336,0.36928844378093517,0.014,0.99,11.753,3.851254998884112
LFZA,2025-06-20,0.664875,0.3077358144931121,0.026,0.918,15.957,5.870062531766347
LFZA,2025-06-22,0.636625,0.33220878878775334,0.026,0.966,15.279,5.5444793949218765
LFZA,2025-06-24,0.6145,0.3929940811591021,0.062,1.447,14.748000000000001,5.289487292172003
LFZA,2025-06-27,0.54625,0.4752619643760783,0.013,1.643,13.11,4.502901483689343
LFZA,2025-06-30,0.686695652173913,0.4744748709489844,0.046,1.78,15.794,5.791788119811113
MANA,2024-07-19,0.811125,0.7529871130313616,0.093,2.052,19.467,3.6931697162389105
MANA,2024-07-29,0.8101250000000001,0.8251831581929053,0.066,2.369,19.443,3.686045976084482
MANA,2024-07-30,0.8467083333333333,0.8146133507572069,0.086,2.011,20.320999999999998,3.9466561367340094
MANA,2024-07-31,0.89875,0.9203795176565693,0.064,2.531,21.57,4.317387447270753
