hogar,week,weekly_sum,z
ABLD,2025-06-30,2.896,-4.593362671510673
ATF,2025-06-23,50.39,3.4474129011986414
FJAG,2024-07-29,176.278,3.731181579515985
FJAG,2024-08-05,158.539,3.087368981691469
FMB,2024-12-23,63.862,3.896049880865653
FMB,2024-12-30,74.137,5.191578644510162
FMB,2025-01-06,58.175,3.17900150336236
GPC,2022-12-26,5.678,-3.947068694138874
GPC,2025-04-14,10.561,-3.082094297455498
GPC,2025-06-30,3.9250000000000003,-4.257595033968069
JACL,2023-08-14,72.318,4.021713465807787
JACL,2023-08-21,74.894,4.228791661706772
JACL,2024-07-29,59.758,3.012046485803419
JACL,2024-08-05,66.542,3.5573952750032305
JACL,2025-06-23,72.379,4.026617103210675
JALG,2022-12-26,5.819,-5.231674518065069
JALG,2025-06-30,11.015,-4.574571706469777
JLG,2023-08-21,72.279,4.47303463651654
JLG,2024-07-29,62.076,3.5185492348229537
JLG,2024-08-05,59.013,3.2320071603950935
JLG,2025-06-23,77.05799999999999,4.920107628253643
JMM,2023-08-21,165.078,7.704904757814689
JMM,2025-06-09,94.809,3.1625506537882924
LFZA,2025-06-16,63.968,3.649060037960602
LFZA,2025-06-23,61.862,3.4362772264571095
MANA,2023-08-14,115.416,4.425343643526469
MANA,2024-07-29,107.817,3.934900538891526
MANA,2024-08-05,122.531,4.884549156025169
MBGV,2022-12-26,3.141,-4.566465139520488
MBGV,2025-06-30,5.169,-4.255296894136988
MTTA,2023-08-14,137.312,4.412077419739121
MTTA,2023-08-21,150.054,5.064254310995966
RFM,2022-12-26,2.003,-3.6590598985253333
RFM,2025-06-30,3.0140000000000002,-3.4637433071647847
RTF,2022-12-26,2.144,-3.977800745110841
RTF,2025-06-30,7.474,-3.553313756398628
