estrategia,algoritmo,k,feature,importance
global,KMeans,2,21,0.07047727948577835
global,KMeans,2,22,0.07042987763890139
global,KMeans,2,23,0.05485140129897885
global,KMeans,2,13,0.05132330440071304
global,KMeans,2,20,0.05065729251747288
global,KMeans,2,11,0.047825516199571545
global,KMeans,2,10,0.04665060218940847
global,KMeans,2,12,0.045490364703481216
global,KMeans,2,19,0.04229126100032751
global,KMeans,2,8,0.04228301683500909
global,KMeans,3,18,0.0933380442514451
global,KMeans,3,17,0.08231614864650771
global,KMeans,3,19,0.07737814551227172
global,KMeans,3,4,0.07328073698046689
global,KMeans,3,16,0.06314643711258021
global,KMeans,3,11,0.059394021958055876
global,KMeans,3,5,0.05842920526469835
global,KMeans,3,15,0.0542720319228608
global,KMeans,3,12,0.04914582280810148
global,KMeans,3,10,0.04841941096568513
global,KMeans,4,18,0.08426586412404816
global,KMeans,4,17,0.07573252225406331
global,KMeans,4,19,0.07252514202188384
global,KMeans,4,4,0.06601646983556268
global,KMeans,4,16,0.06187890289407956
global,KMeans,4,11,0.05793858978062593
global,KMeans,4,15,0.05572694714952104
global,KMeans,4,10,0.04998385214849622
global,KMeans,4,5,0.04963575894984911
global,KMeans,4,12,0.04937948545718001
global,KMeans,5,0,0.06851665302612352
global,KMeans,5,18,0.06378138953037428
global,KMeans,5,1,0.06377480535346436
global,KMeans,5,2,0.06225922092347206
global,KMeans,5,4,0.059062244935309406
global,KMeans,5,19,0.05733370998780064
global,KMeans,5,17,0.05713605572875238
global,KMeans,5,3,0.053435849383920334
global,KMeans,5,16,0.04695257634244521
global,KMeans,5,5,0.04572817755885478
global,Agglomerative,2,13,0.06932124871680946
global,Agglomerative,2,14,0.05979625163146145
global,Agglomerative,2,15,0.05924414773528833
global,Agglomerative,2,21,0.0546114592476175
global,Agglomerative,2,12,0.05377886788410362
global,Agglomerative,2,16,0.053751056515937916
global,Agglomerative,2,22,0.053129741770036105
global,Agglomerative,2,11,0.05290987952050463
global,Agglomerative,2,10,0.051084711284985276
global,Agglomerative,2,9,0.05103628240685491
global,Agglomerative,3,4,0.07443196748558435
global,Agglomerative,3,3,0.07140522579511109
global,Agglomerative,3,2,0.06617151749985645
global,Agglomerative,3,0,0.06465611972199126
global,Agglomerative,3,1,0.06273831122297256
global,Agglomerative,3,5,0.05833798122242079
global,Agglomerative,3,23,0.050611539568427635
global,Agglomerative,3,18,0.04883689016642147
global,Agglomerative,3,17,0.04805777693518074
global,Agglomerative,3,10,0.044308271050726426
global,Agglomerative,4,4,0.0655635241528841
global,Agglomerative,4,3,0.06355283688143451
global,Agglomerative,4,2,0.05879889342264291
global,Agglomerative,4,0,0.057981865740606375
global,Agglomerative,4,1,0.05637524382794697
global,Agglomerative,4,5,0.04989245985268184
global,Agglomerative,4,23,0.048677278354261354
global,Agglomerative,4,10,0.046880159308732745
global,Agglomerative,4,18,0.04642846051201497
global,Agglomerative,4,17,0.04615666637550056
global,Agglomerative,5,0,0.07111824263219879
global,Agglomerative,5,1,0.06640904826687483
global,Agglomerative,5,2,0.06481609657852341
global,Agglomerative,5,18,0.06434134355730019
global,Agglomerative,5,4,0.06121442876323546
global,Agglomerative,5,17,0.0579030968019039
global,Agglomerative,5,19,0.056216861805366065
global,Agglomerative,5,3,0.05534513956893033
global,Agglomerative,5,16,0.04720596261317062
global,Agglomerative,5,5,0.04598655479276683
global,GMM,2,21,0.07047727948577835
global,GMM,2,22,0.07042987763890139
global,GMM,2,23,0.05485140129897885
global,GMM,2,13,0.05132330440071304
global,GMM,2,20,0.05065729251747288
global,GMM,2,11,0.047825516199571545
global,GMM,2,10,0.04665060218940847
global,GMM,2,12,0.045490364703481216
global,GMM,2,19,0.04229126100032751
global,GMM,2,8,0.04228301683500909
global,GMM,3,18,0.0933380442514451
global,GMM,3,17,0.08231614864650771
global,GMM,3,19,0.07737814551227172
global,GMM,3,4,0.07328073698046689
global,GMM,3,16,0.06314643711258021
global,GMM,3,11,0.059394021958055876
global,GMM,3,5,0.05842920526469835
global,GMM,3,15,0.0542720319228608
global,GMM,3,12,0.04914582280810148
global,GMM,3,10,0.04841941096568513
global,GMM,4,18,0.08426586412404816
global,GMM,4,17,0.07573252225406331
global,GMM,4,19,0.07252514202188384
global,GMM,4,4,0.06601646983556268
global,GMM,4,16,0.06187890289407956
global,GMM,4,11,0.05793858978062593
global,GMM,4,15,0.05572694714952104
global,GMM,4,10,0.04998385214849622
global,GMM,4,5,0.04963575894984911
global,GMM,4,12,0.04937948545718001
global,GMM,5,0,0.06851665302612352
global,GMM,5,18,0.06378138953037428
global,GMM,5,1,0.06377480535346436
global,GMM,5,2,0.06225922092347206
global,GMM,5,4,0.059062244935309406
global,GMM,5,19,0.05733370998780064
global,GMM,5,17,0.05713605572875238
global,GMM,5,3,0.053435849383920334
global,GMM,5,16,0.04695257634244521
global,GMM,5,5,0.04572817755885478
laborable,KMeans,2,13,0.06735513388638902
laborable,KMeans,2,16,0.06483546679338469
laborable,KMeans,2,15,0.06209061671992542
laborable,KMeans,2,14,0.05828427528364107
laborable,KMeans,2,23,0.05482715180047584
laborable,KMeans,2,9,0.05330635249530221
laborable,KMeans,2,17,0.05269738809892713
laborable,KMeans,2,22,0.05165797887633086
laborable,KMeans,2,21,0.0513900390235307
laborable,KMeans,2,12,0.04998019026418851
laborable,KMeans,3,16,0.08562053740328533
laborable,KMeans,3,15,0.08067122292078446
laborable,KMeans,3,17,0.07786326068901477
laborable,KMeans,3,18,0.06475831155980973
laborable,KMeans,3,9,0.0595701222708707
laborable,KMeans,3,14,0.05618358396911566
laborable,KMeans,3,12,0.055057575420813284
laborable,KMeans,3,13,0.05157093078945905
laborable,KMeans,3,23,0.05033775734046265
laborable,KMeans,3,11,0.048442436273640616
laborable,KMeans,4,18,0.10027626915073112
laborable,KMeans,4,17,0.09218662070679176
laborable,KMeans,4,4,0.07875278395786431
laborable,KMeans,4,19,0.07173182108962152
laborable,KMeans,4,16,0.06444474277771403
laborable,KMeans,4,11,0.0606196902203507
laborable,KMeans,4,15,0.05591530740052241
laborable,KMeans,4,3,0.052993816899396896
laborable,KMeans,4,10,0.052489343286178644
laborable,KMeans,4,12,0.048983892100267455
laborable,KMeans,5,0,0.0820194152709193
laborable,KMeans,5,18,0.07239933996084885
laborable,KMeans,5,2,0.06937245647304471
laborable,KMeans,5,4,0.06797794121951331
laborable,KMeans,5,1,0.06726031530231515
laborable,KMeans,5,17,0.06607938612265796
laborable,KMeans,5,3,0.05681066103173323
laborable,KMeans,5,19,0.05635349695504263
laborable,KMeans,5,5,0.0462620627144066
laborable,KMeans,5,16,0.04601877416535857
laborable,Agglomerative,2,9,0.08013220553683877
laborable,Agglomerative,2,16,0.07093522416318636
laborable,Agglomerative,2,12,0.06999798796496691
laborable,Agglomerative,2,13,0.06963288792489009
laborable,Agglomerative,2,10,0.06543804262742431
laborable,Agglomerative,2,11,0.06431122803511413
laborable,Agglomerative,2,15,0.06038462441340681
laborable,Agglomerative,2,17,0.05633725420354334
laborable,Agglomerative,2,18,0.049417274509768634
laborable,Agglomerative,2,14,0.04559204875975035
laborable,Agglomerative,3,4,0.08102101406374106
laborable,Agglomerative,3,3,0.07085615130367001
laborable,Agglomerative,3,2,0.06593832009824419
laborable,Agglomerative,3,0,0.06452072138416554
laborable,Agglomerative,3,1,0.06365341090459933
laborable,Agglomerative,3,17,0.05974952144127676
laborable,Agglomerative,3,10,0.056894581366000466
