estrategia,algoritmo,k,feature,importance
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,2,s_Noche,0.019952557816378343
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,2,Noche,0.019952557816378343
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,2,Marzo,0.018243285935630026
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,2,s_Martes,0.018054495030245914
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,2,Martes,0.018054495030245914
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,2,s_invierno,0.017791073375402512
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,2,promedio_por_dia,0.01769363102589943
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,2,sum_consumo,0.01769363102589943
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,2,media_consumo,0.017693631025899423
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,2,consumo_medio_diario,0.017693631025899423
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,3,min_consumo,0.03944026222715968
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,3,s_Tarde,0.02464487791598268
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,3,Tarde,0.024644877915982674
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,3,std_Viernes,0.022700022888775574
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,3,Junio,0.02233965590642868
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,3,s_Viernes,0.02029875574745255
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,3,Viernes,0.020298755747452546
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,3,s_verano,0.01964524587138152
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,3,Abril,0.019037709524595263
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,3,percentil_25_consumo,0.018660305228465655
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,4,min_consumo,0.03458585406413625
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,4,s_Tarde,0.023250869750357648
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,4,Tarde,0.023250869750357644
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,4,Junio,0.02168531209816452
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,4,std_Viernes,0.020763459658675213
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,4,s_Viernes,0.020061025435874826
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,4,Viernes,0.02006102543587482
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,4,s_verano,0.019653792702183516
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,4,percentil_25_consumo,0.0192785207124839
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,4,Abril,0.018778757175253073
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,5,min_consumo,0.03491742226144593
