ventana,,0,1,2
2024-07-01_a_2025-06-30_KMeans_k3_profile,media_consumo,0.17042587505087503,0.2921246565934066,0.4253763965201453
2024-07-01_a_2025-06-30_KMeans_k3_profile,std_consumo,0.19393352258752514,0.3308953772975056,0.4817359003696687
2024-07-01_a_2025-06-30_KMeans_k3_profile,min_consumo,0.0,0.0,0.0210999999999472
2024-07-01_a_2025-06-30_KMeans_k3_profile,max_consumo,2.200111111111111,3.460857142857143,4.491
2024-07-01_a_2025-06-30_KMeans_k3_profile,percentil_25_consumo,0.06844444444444445,0.10292857142857144,0.181
2024-07-01_a_2025-06-30_KMeans_k3_profile,percentil_50_consumo,0.10622222222222222,0.17242857142857143,0.2875
2024-07-01_a_2025-06-30_KMeans_k3_profile,percentil_75_consumo,0.1807777777777778,0.34075,0.465
2024-07-01_a_2025-06-30_KMeans_k3_profile,promedio_por_dia,0.170425875050875,0.2921246565934066,0.4253763965201452
2024-07-01_a_2025-06-30_KMeans_k3_profile,consumo_medio_diario,4.090221001221001,7.010991758241758,10.209033516483489
2024-07-01_a_2025-06-30_KMeans_k3_profile,Mañana,0.15339522283272278,0.25278257456828884,0.3141687499999994
2024-07-01_a_2025-06-30_KMeans_k3_profile,Mediodia,0.21762037037037035,0.36973050758765036,0.5470918040293008
2024-07-01_a_2025-06-30_KMeans_k3_profile,Tarde,0.20398061660561656,0.3424044348508634,0.6928038461538453
2024-07-01_a_2025-06-30_KMeans_k3_profile,Noche,0.19705601343101342,0.37927246860282576,0.4128827609890109
2024-07-01_a_2025-06-30_KMeans_k3_profile,Madrugada,0.09447246175253642,0.14915637545310642,0.2078675793661155
2024-07-01_a_2025-06-30_KMeans_k3_profile,sum_consumo,1488.8404444444445,2552.001,3716.088199999989
2024-07-01_a_2025-06-30_KMeans_k3_profile,Lunes,0.17026985398860395,0.2904013278388278,0.3696084134615379
2024-07-01_a_2025-06-30_KMeans_k3_profile,Martes,0.170295584045584,0.2957597298534798,0.3920286057692296
2024-07-01_a_2025-06-30_KMeans_k3_profile,Miércoles,0.17519996438746435,0.2890414377289377,0.4032679487179477
2024-07-01_a_2025-06-30_KMeans_k3_profile,Jueves,0.17277475071225068,0.2843618360805861,0.397948637820512
2024-07-01_a_2025-06-30_KMeans_k3_profile,Viernes,0.1638294159544159,0.27984855769230765,0.4668600961538435
2024-07-01_a_2025-06-30_KMeans_k3_profile,Sábado,0.16823344017094014,0.3005108745421245,0.480998237179486
