,ABLD,AJVG,ATF,FJAG,FMB,GPC,JACL,JALG,JLG,JMM,LFZA,MANA,MBGV,MTTA,PAA,RFM,RTF
ABLD,0,120,128,28,295,280,119,70,124,57,240,56,290,40,89,124,56
AJVG,120,0,63,89,129,126,49,147,52,85,95,92,129,98,190,61,163
ATF,128,63,0,1,144,157,310,21,311,2,201,2,131,1,31,316,20
FJAG,28,89,1,0,13,6,1,160,1,195,11,195,25,213,143,1,153
FMB,295,129,144,13,0,303,135,44,140,29,247,28,287,17,64,138,38
GPC,280,126,157,6,303,0,143,32,148,23,268,22,284,11,45,155,27
JACL,119,49,310,1,135,143,0,32,319,2,187,2,122,1,36,302,26
JALG,70,147,21,160,44,32,32,0,29,202,30,222,68,199,249,21,246
JLG,124,52,311,1,140,148,319,29,0,2,192,2,127,1,37,303,23
JMM,57,85,2,195,29,23,2,202,2,0,19,296,54,235,158,2,144
LFZA,240,95,201,11,247,268,187,30,192,19,0,19,252,14,50,199,24
MANA,56,92,2,195,28,22,2,222,2,296,19,0,54,249,173,2,164
MBGV,290,129,131,25,287,284,122,68,127,54,252,54,0,38,82,127,55
MTTA,40,98,1,213,17,11,1,199,1,235,14,249,38,0,170,1,160
PAA,89,190,31,143,64,45,36,249,37,158,50,173,82,170,0,28,221
RFM,124,61,316,1,138,155,302,21,303,2,199,2,127,1,28,0,20
RTF,56,163,20,153,38,27,26,246,23,144,24,164,55,160,221,20,0
