estrategia,algoritmo,k,silhouette,davies_bouldin,calinski_harabasz
estacion_invierno,Agglomerative,3,0.4201846094872536,0.7159237559732343,11.493940123311235
estacion_otono,KMeans,2,0.3608870551581023,1.024278771602348,11.94309394660102
estacion_primavera,KMeans,2,0.3477979799501188,1.0796998066378898,10.949018004849236
estacion_verano,KMeans,2,0.5533447094259931,0.7118117179690573,23.37648326391748
global,KMeans,2,0.4016995632050553,0.9068453772170804,13.683326905655353
mes_01,Agglomerative,3,0.3724068802637878,0.7855607282764345,9.163116122632111
mes_02,GMM,2,0.3784556115564119,1.119496786481084,10.826614484935693
mes_03,Agglomerative,3,0.3807391157413977,0.7317391273447624,11.476691351946574
mes_04,Agglomerative,3,0.3795834744973783,0.9090154762818132,10.2330688140187
mes_05,Agglomerative,2,0.49173891131483,0.3296075338337202,7.001848899778766
mes_06,Agglomerative,2,0.5638489493827711,0.2746619763031556,9.963410390315325
mes_07,KMeans,2,0.5541006656383609,0.6978763200148409,23.80140073789809
mes_08,KMeans,2,0.575611224329358,0.6502260974608439,27.12113473013648
mes_09,Agglomerative,2,0.575001211172327,0.2645861691528089,10.799549241578497
mes_10,KMeans,2,0.3589572528524453,0.967706402836057,12.168562843566788
mes_11,Agglomerative,3,0.3562898158398362,0.7912397061881283,9.319954737678568
mes_12,GMM,2,0.4082021663171566,1.1894280351537423,9.164948829637174
rolling_2023-01-01_2023-04-01,Agglomerative,4,0.3515586166676404,0.9335947614319904,9.20994634785566
rolling_2023-01-31_2023-05-01,Agglomerative,4,0.3367748687088105,0.9369838935941904,8.360584587778144
rolling_2023-03-02_2023-05-31,KMeans,2,0.3277488861232362,1.141675075589167,9.540416843228424
rolling_2023-04-01_2023-06-30,KMeans,2,0.3774030006644248,1.0225517401180957,11.541809689203165
rolling_2023-05-01_2023-07-30,KMeans,2,0.4728475212952202,0.7709336791029425,18.909777029422127
rolling_2023-05-31_2023-08-29,Agglomerative,2,0.5766251022596869,0.5360258328488022,24.60942134017211
rolling_2023-06-30_2023-09-28,KMeans,2,0.4913961769109941,0.7183886635139874,23.167954928723574
rolling_2023-07-30_2023-10-28,Agglomerative,2,0.5147925315741779,0.698573301911091,21.5337426665606
rolling_2023-08-29_2023-11-27,KMeans,2,0.3500595495070701,1.014459568966151,11.22698721492832
rolling_2023-09-28_2023-12-27,KMeans,2,0.3656290743185713,0.9968762925924288,12.141139069371938
rolling_2023-10-28_2024-01-26,Agglomerative,3,0.3634387104065146,0.8051461092228774,8.846398763149868
rolling_2023-11-27_2024-02-25,GMM,2,0.3714529224308291,1.1015243972341615,10.176605386629776
rolling_2023-12-27_2024-03-26,GMM,2,0.3740128218043268,1.165305948162239,9.807348187751398
rolling_2024-01-26_2024-04-25,KMeans,2,0.2954578191211847,1.093544219924265,9.154766384247829
rolling_2024-02-25_2024-05-25,GMM,2,0.3141827183061561,1.2171158760555922,8.747167521343023
rolling_2024-03-26_2024-06-24,Agglomerative,2,0.5722845296636693,0.2657290884655703,9.978644749881733
rolling_2024-04-25_2024-07-24,Agglomerative,2,0.594024466253162,0.2476095826899516,11.110589953709122
rolling_2024-05-25_2024-08-23,KMeans,2,0.5098220840246069,0.8976466168968258,16.364793995012253
rolling_2024-06-24_2024-09-22,KMeans,2,0.4832782347287416,0.913777935581572,15.314339906739924
rolling_2024-07-24_2024-10-22,Agglomerative,2,0.5854042404748241,0.2515009587137448,10.97615515668417
rolling_2024-08-23_2024-11-21,KMeans,3,0.3488756544897418,0.7720976926099778,11.107762170413311
rolling_2024-09-22_2024-12-21,GMM,2,0.363809812548801,1.236428450059515,8.530246862255439
rolling_2024-10-22_2025-01-20,GMM,2,0.3938034690533663,1.1593412125276543,9.6108039695188
rolling_2024-11-21_2025-02-19,Agglomerative,4,0.3754754498091658,0.6177356909207863,13.9007014988157
rolling_2024-12-21_2025-03-21,KMeans,3,0.3698676797136271,0.7321812166638452,10.806045925038552
rolling_2025-01-20_2025-04-20,KMeans,3,0.3891596921164434,0.7041520811509022,11.225739351899168
rolling_2025-02-19_2025-05-20,Agglomerative,3,0.3699738613374558,0.6599791318006342,10.701923644288184
rolling_2025-03-21_2025-06-19,KMeans,2,0.371745972753161,0.9700804134046908,12.953974929439022
